Paragraph,happy,sad,anger,fear
"ఒకసారి భిక్షపతి పక్క ఊరికి వెళ్లి తిరుగు ప్రయాణం అయ్యే సరికి చీకటి పడింది. మెల్లగా చీకట్లో డొక్కు సైకిలుపై వస్తున్న భిక్షపతి మీదకి అతివేగంతో అదుపు తప్పిన లారీ వచ్చి గుద్దేసింది. చుట్టు పక్కల జనం గుమిగూడేసరికి ఒంట్లో చలనం లేదు. ప్రాణం పోయిందని తెలుసుకున్న జనం మెల్లగా శవం ఇంటి వద్దకు చేర్చారు. చివరి చూపుకి చుట్టాలెవరైనా వస్తారేమో అని శవాన్ని తెల్లరే వరకు ఉంచారు. అంతలో ఊరి పెద్ద ""బిచ్చపతి గాడికి చుట్టమా, పక్కమా? ఒంటరి పక్షి! ఏనాడూ రూపాయి ఇచ్చి ఎరగడు! ఆడి కోసం ఎవడోత్తాడూ? తీస్కెళ్ళి తగలెట్టెయ్యండెహె!!"" అని ఆజ్ఞ విసిరాడు. పిసినారి భిక్షపతి కి చివరికి అలాంటి గతే పట్టిందని జనమంతా గుసాగుసలాడారు. శవాన్ని కదిలిస్తుండగా రెండు వ్యాన్లు వచ్చి భిక్షపతి ఇంటి ముందు ఆగాయి. ఊరి పెద్ద బయటకి వచ్చి చూసేసరికి ముప్పై మంది దాకా ముసలి వాళ్ళు, చిన్న పిల్లలు. భిక్షపతి శవం చుట్టూ చేరి ఏడవసాగారు. పిల్లలంతా పదేళ్ల లోపు వారు. పెద్దలంతా డెబ్భై దాటిన వారే. వారంతా పక్క ఊరిలోని అనాథ శరణాలయం వారు. అప్పుడు భిక్షపతి ఎక్కడికి వెళ్ళేవాడో, తన సంపాదన ఏమి చేసేవాడో ఊరి జనానికి అర్థమైంది.",5,65,20,10
"సరదాగా అలా చల్లని రాత్రి లో వేడి వేడి ఛాయ్ తీస్కొని డాబా మీద కూర్చున్నా. చల్ల గాలి , ప్రశాంతమైన వెన్నెల. తెలీకుండానే మొహం మీదకి చిరునవ్వు వచ్చేసింది. వెన్నేలిచ్చిన స్వేచ్చేమో జీవితంలో నడుస్తున్న కష్టాలు , సమస్యలు అన్ని మర్చిపోయాను. సందిగ్ధాలతో నిండిన జీవితంలో ఊహలే కదా అలసటకి మందు.",10,50,30,10
"నాలుగు నెలలు ముందు తను వదిలేసి వెళ్ళింది అనే సంగతి కూడా మర్చిపోయి , గడిపిన తీపి జ్ఞపకాలు , గుర్తులు అన్ని మదిలోకి రావడం మొదలు పెట్టాయి.ఇక్కడే నా పక్కన కూర్చుని ఇదే వెన్నెల్లో మాట్లాడుకునే వాళ్ళం. చరిత్ర నుండి చెత్త విషయాల దాక , పనికిరాని విషయాల నుండి దేశంలో తీసుకునే ప్రధాన నిర్ణయాల దాకా , ఏ అంశం అయినా అలా గంటల తరబడి మాటలాడుకునేవాళ్ళం. కానీ ఏ కథ కైనా మొదలు తో పాటు ముగుంపు కూడా ఉంటుంది.",5,70,15,10
"అలా జ్ఞపకాలలో తేలుతున్న నాకు , తెలీకుండానే ఆ కథ ముగింపు దగ్గరికి చేరుతున్నాను అనే విషయం తట్టలేదు. చిరునవ్వుతోనే మొదలైనట్టు గుర్తు , కంటి నిండా కన్నీరు ఎపుడు నిండిందో అర్ధమే కాలేదు. కళ్ళ ముందు ఉన్న వెన్నెల మాయలో పడి మనసంచున ఉన్న చీకటి గాయాలు మర్చిపోయాను. ఆ గాయాలు నేర్పిన పాఠాలు ఎన్నో.",10,60,20,10
"మనం ప్రేమించిన వాళ్ళు జీవితం లో మనతో ఉంటె ఎంత అందంగా ఉంటుంది. ప్రేమ మొదైలనప్పుడు భవిష్యత్తు లో ఎదురయ్యే సమస్యల కన్నా , అపుడు ఆ క్షణం మనల్ని ఒప్పుకుంటారా ? ఒప్పుకుంటే ఎలా జీవించాలి అనే ఆలోచనలే ఉంటాయి. పెళ్లి అయితే జీవితం ఎలా గడపాలి , పిల్లల పేర్లు , నెలవారీ బడ్జెట్ , షాపింగ్ , ఒకే ఇంట్లో ఉండడం , కష్ట సుఖాలు పంచుకోడం , ఈ ఊహలన్నీ అందమైనవే. వీటితోనే మెడలు కట్టేస్తాం. కానీ మనలో ఎంత మంది ఆ కలల్ని నిజం చేసుకుంటాం. సక్సెస్ అయినా ప్రేమ కథలు పదుల్లో ఉంటె , విడిపోయిన కథలు వేలల్లో ఉన్నాయి. మన చేతిలో లేనివి ,సమాజం విడదీసిన కథల గురించి మాట్లాడట్లేదు , ఆ కథలు మన కర్మ , ఎలా అన్నా మార్చలేము. నేను మాట్లాడుతుంది నీ గురించి , నీ గుణాల గురించి , నీ వ్యక్తిత్వం గురించి , నీ అలవాట్ల గురించి. నీ వల్ల విడిపోయిన ప్రేమకథలు గురించి. నువ్వే సర్రిగా ఉంటె నీ ప్రేమ గెలిచేది కాదా?",5,65,20,10
"మనందరికీ గతాలు ఉన్నాయి , ఆ గతం లో గాయాలు కూడా ఉన్నాయి. అదే గతం తో ఎవరన్నా నీ దారికి వస్తే అనుమానం తో నస పెట్టి చెంపకు. వీలైతే అర్ధం చేస్కో లేకపోతే మౌనంగా ఉండు. ఒక మనిషి మీద నీ ప్రేమ కనపడాలి పెత్తనం కాదు. ఇంట్లో ఒప్పుకుని పెళ్లి దాక వెళ్లే కథలు చాలా తక్కువ , ప్రేమకి సమాజం అడ్డు పడితే అది నీ కర్మ , కానీ మీ కథకు మీరే శత్రువులు అయితే అంతకన్నా దురదృష్టం ఉండదు , అసలా మనుషులు అందరు సరిగ్గా అర్ధం చేసుకుంటే బ్రేకప్ అనే పదం డిక్షనరీ లో ఉంటుందా చెప్పండి.",10,50,30,10
"ఈ లోకం లో ఇప్పుడున్న సమాజం లో అందరికి గాయాలతో నిండిన గతాలు ఉన్నాయి. వీలైతే గతాన్ని అర్థంచేసుకుని ఒక అవకాశం ఇవ్వండి ,మీకు మీ తోడుకి కూడా. లోకం లో అందరికి అర్ధం చేస్కునే తోడు కావాలి , కానీ ముందు మనం మారితే చుట్టూ జనాలు మారతారు, ప్రేమనే మధురమైన భావంలో అప్పుడపుడు సమస్యలు వచ్చిన కలిసి పోరాడండి.",5,70,15,10
"డెబ్బై ఐదు ఏళ్ళ వయసులో పలకరించడానికి నలుగురు మనుషులు, బాదని పంచుకోడానికి కొందరు స్నేహితులు, పండక్కి వచ్చి వెళ్ళే కూతుర్లు,కొడుకులు, మనవళ్ళు, మనవరాళ్లు వుంటే పెద్ద టెన్షన్లు ఏముంటాయి పడుకుంటే పొద్దున్నే బార్య కాఫీతో నిద్ర లేపే దాకా ప్రశాంతంగా నిద్ర పట్టుద్ది....",10,60,20,10
"దురదృష్టమో ఏంటో , ఈ తిక్క ఆలోచనలు , నిర్ణయాలు చూసి కోపం వచ్చి మాట్లాడడం మానేసింది కీర్తి . తనది తప్పు అని చెప్పలేను , కానీ పక్కన ఉంటె బాగుండే అనిపించింది. ఒకప్పుడు ఏ నిర్ణయం తీసుకున్న తను పక్కనే నిలబడేది , తనే ధైర్యం . తీసుకున్న ఏ నిర్ణయానికైనా ఊపిరి పోసేది , ఆయువునిచ్చేది. కానీ ఈ సారి ఇల్లు వదిలేసి రావడం నచ్చలేదు , తనకేంటి ఆలోచిస్తే నాకే మంచిగా అనిపించట్లేదు.",5,65,20,10
"మొత్తానికి ఏం చేయాలో అర్ధంకాక వారణాసి ట్రైన్ ఎక్కాను . మొగల్ సరాయ్ స్టేషన్ లో దిగి ఆటో ఎక్కి గంగా నది దగరికి చేరాను. ఆ నది , గాలి , గంగా హారతి తెలియని ప్రశాంతతను దరి చేర్చాయి. అప్పటి దాకా మదిలో కలిసి ఏకం అయ్యి కల్లోలం చేసిన వేల ఆలోచనలు ఒక్కసారిగా విడి విడిగా కనిపించాయి.",10,50,30,10
"జీవితం లో అతివృష్టి , అనావృష్టి అనేవి సహజం. ఈరోజు ఎన్నో నవ్వులు , ఇంకెన్నో జ్ఞపకాలు , కానీ ఆ మరుసటి రోజే జీవితం తలకిందులు కావచ్చు , బాధలతో నిండిపోవచ్చు , నిస్సహాయత దరి చేరచ్చు . బాధ సంతోషం కలిస్తేనే జీవితం అన్నారు అందుకే కాబోలు , కానీ ఏది శాశ్వతం కాదు. నవ్వులు శాశ్వతం కాదు , బాధలు శాశ్వతం కాదు.",5,70,15,10
"బుర్రలో ఎన్నో పనులుండచ్చు , ఏం చేయాలో అర్ధం కాకపోతుండచ్చు , అంత మాత్రాన కృంగిపోయి , ఆవేశ నిర్ణయాలు ఎప్పుడు తీసుకోకూడదని అర్ధం అయింది . ఎదో ఒకటి త్వరపడి చేసేయడం కంటే కొన్ని సార్లు ఏం చేయకుండా ఉండడమే మేలు . ఇంట్లో వద్దన్నారు , వచ్చేసాను , నేనిక్కడ ఎలా ఉన్నానో పక్కన పెడితే , అసలా వాళ్ళు అక్కడ ఎలా ఉన్నారు ? మాట్లాడే అవకాశం కూడా ఇవ్వలేదు నేను . బ్రతిమిలాడితే ఒప్పుకునే వారేమో",10,60,20,10
"కూర్చుని వీటికి సమాధానం ఇచ్చుకుంటే అయ్యిపోయేదేమో ! ఏదైనా మన మంచికే లే ! ఆ రాత్రి అక్కడే ఘాట్ లో పడుకుని పొద్దున ట్రైన్ ఎక్కి ఇంటికి వచ్చేసాను . 3 రోజులు ఎక్కడున్నానో తెలీదు , ఏం అయిపోయానో తెలీదు . అమ్మ కొట్టింది , కానీ ప్రతి దెబ్బ ప్రేమతోనే తగిలింది.",5,65,20,10
"కొన్ని రోజులు అయ్యాక ఇద్దర్ని కూర్చోపెట్టి ప్రశాంతంగా ఉన్నది చెప్పాను, ఇది తప్ప వేరే ఏది చేయలేను అని , ఒక్క అవకాశం ఇవ్వమని అడిగా . ఒక్క సంవత్సరం ! ఒకే ఒక్క సంవత్సరం తీస్కో గడువు అన్నారు . గెలిచాం అనిపించింది , ఎందుకో తెలీదు , అప్పటి దాకా ఉన్న బాధ అంత మెల్లిగా పోతు ఆనందాన్ని తీస్కోచింది.",10,50,30,10
"కీర్తిని కలిసాను , చూడగానే చంప పగలకొట్టింది . అక్కడే టీ షాప్ లో కూర్చుని బిజినెస్ మోడల్ గీసుకున్నాము. కార్తీక్ గాడు ఇచ్చిన 2500 లో 700 మిగిలి ఉన్నాయ్ . ఒక తాటి ఆకుల బుట్ట 300 రూపాయలకి , 20 kg కీరా ౩౦౦ రూపాయలకి ఉప్పు కారం తీస్కున్నాము . 160 కీరాలు , ప్లేట్ 10 రూపాయలు , రోజు సంపాదన 1600 . మొదట రోజు లాభం 900 రూపాయలు. ఒక ఆయన అక్కడే కింద కూర్చుని పాటల పుస్తకాలు అమ్మడం చూసాం. కొత్త వ్యాపారం పెడతావా ? , పెట్టుబడి నేనుపెడతా అని అడిగితే ""హా "" అన్నాడు. అలా స్టేషన్ లో చిన్న వ్యాపారి నుండి చాలా మంది బిచ్చగాళ్ళ వరకు ""హా "" అనే అన్నారు. సంవత్సరం లోపు 26 స్టేషన్స్ లో 85 మందికి పెట్టుబడి పెట్టాం. 50 % వాళ్ళకి లాభం , ఖర్చు పోగా 85 నుండి తక్కువ లో తక్కువ 100000 రూపాయలు వస్తున్నాయి.",5,70,15,10
"మనం చేయాల్సింది కేవలం సహనం తో నిలబడడమే , నిలబడ్డావా , ఊహించని ఆనందం కూడా సమయానుసారం ఇస్తుంది.ఇది నా కథ . నీ కథ లో సమస్యల్ని విడి విడిగా చేసి చూడు , సమాధానం వాటి మధ్యలోనే స్పష్టంగా కనిపిస్తుంది.",10,60,20,10
"ఇంజనీరింగ్ చేసి 3 ఏళ్ళు అయ్యింది. క్యాంపస్ లో జాబ్ వచ్చింది , కానీ దాని జీతం వచ్చే లోపే నాకు చిరాకు వచ్చింది. ఒక షాప్ పెట్టి సొంత వ్యాపారం చేస్తా అంటే అమ్మ, నాన్న 2 లక్షలు అప్పు తీసుకొచ్చారు. ఆలోచన బాగుంది , సక్సెస్ కూడా అయింది కానీ 2 గంటల కన్నా ఎక్కువ కూర్చోవాలి అనిపించలేదు.",5,65,20,10
సంతృప్తి లేదా ? ఆసక్తి లేదా ? ఇలా ఒకటి రెండు కాదు పది పన్నెండు ఉద్యోగాలు చేశాను. విచిత్రం ఏంటంటే అమ్మ నాన్న ఒక్క మాట కూడా అనలేదు. బయటికి కనపడకపోయిన వాళ్ళు బాధ పడుతున్నారు అని తెలుస్తూనే ఉంది. అన్నిటి మీద చిరాకు వచ్చి కొన్ని నెలలు అన్ని వదిలేసి అలా గాలికి తిరిగాను.,10,50,30,10
"మనిషికి భయం ఎక్కువ. దింట్లో ఫెయిల్ అయితే ఏంటి పరిస్థితి ? అందుకే సేఫ్ ఆప్షన్ చూసే చేసుకుంటారు . అందుకే మనలో చాలా మంది కష్టంగా కనిపించినా, అనిపించినా సేఫ్ జాబులు అంటేనే మోజు, ఇష్టంగా ఉన్న మిగతా అన్ని వృత్తులు అంటే భయం , కాకపోతే ఒకసారి ఇష్టం అయినా పని పట్టుకుంటే ఇప్పటికి కాకపోయినా , ఇప్పటికైనా అక్కడ ఒక మంచి స్థాయిలో నిలబడతారు . అందుకే అన్ని ట్రై చేసి దేంట్లో నువ్వు సంతోషంగా ఉంటె దానిలో ఎదగాలన్నది నాది , నాన్నది కోరిక.",5,70,15,10
నీకు చిరాకు వచ్చింది అనే ఒక్క కారణం తీసేసి ఇన్ని జాబ్స్ ఎందుకు మానేసావో ఒక్క కారణం చెప్పమంటే నీ దగ్గర సమాధానం ఉందా? అసలా ఒక ఫీల్డ్ లో పడిపోతే లేదా కొంచెం ఫెయిల్ అయినా మళ్ళీ లేచి పోరాడావా? కనీసం ట్రై చేసావా ?,10,60,20,10
"నీకు నీ గర్ల్ ఫ్రెండ్ అంటే ఇష్టం ఉండచ్చు , కానీ తన గురించి నీకు మొత్తం తెలుసా ? కానీ తెలుసుకుంటే ఇష్టం పెరుగుతుంది కానీ తగ్గుతుందా ? ఈ లోకం లో ఏదైనా అంతే ! నేర్చుకుంటూ పోతేనే ఒక్కోటి తెలుసుకుంటూ , విజయపు మెట్లు ఎక్కుతావ్",20,40,20,20
"నువ్వు ఏ ఉద్యోగం తీసుకున్న , కష్టాలు చిరాకు , సంతోషం , గెలుపు అన్ని కలిపే వస్తాయి , కష్టాలు లేని ఉద్యోగాలు ఏవి చెప్పు ? చీకటి లేకపోతే వెలుగుకి గుర్తింపు ఉంటుందా ? అలానే కష్టం లేకపోతే గెలిచినప్పుడు ఆనందం కూడా ఉండదు. జీవితం ఎప్పుడు ఒకేలా ఉండదు , ఎన్నో ఎత్తులు ఎన్నో సమస్యలు , విజయం అయినా ఓటమి అయినా తాత్కాలికమే.",30,30,20,20
"కానీ చేసే ఉద్యోగం వల్ల మానసికంగా ఎదగాలి. పని చేసి ఇంటికి వచ్చాక హమ్మయ్య అని ప్రశాంతంగా పడుకోవాలి కానీ , అబ్బా మళ్ళీ రేపు పనికి వెళ్ళాలి అనిపించని ఏ ఉద్యోగం అయినా నువ్వు సంతోషంగానే ఉంటావ్.",10,50,20,20
"కానీ నేను చేయాలనుకున్నది ఏంటి , చేస్తుంది ఏంటి ? బ్రతకాలనుకున్నది ఎలాగా ? బ్రతుకుతున్నది ఎలాగా ? అప్పుడు మాట్లాడి ఉంటె , ఇప్పుడు బాధ పడేవాడ్ని కాదేమో. ఇప్పటికి పోయింది ఏమి లేదు అనే వాదన కూడా అప్పుడప్పుడు నాలో ఇంకా ఆశ బ్రతికి ఉన్న మనసుకి అనిపిస్తుంది , మళ్లీ మౌనంగా ఉండి , తప్పలేదు అని ఈ ఇష్టం లేని పని చేయాలో అనే భయం ముందు ఓడిపోయేది.",40,20,20,20
"నువ్వు .... నువ్వే ... నాలా బ్రతకడం కంటే నచ్చింది చేసుకుంటూ బ్రతకడం చాలా బాగుంటుంది , ఇది నరకం. మాట్లాడు , వాదించు , గొడవపడి , కానీ మౌనంగా మాత్రం తల దించుకోకు. నీ కలని , నీ కళని కాపాడుకోవాల్సింది నువ్వే.",10,60,20,10
"ఒకసారి త్రివిక్రమ్ శ్రీనివాస్ గారిని నువ్వు నాకు నచ్చావ్ మూవీ గురించి అడిగినప్పుడు “చలంగారి లాగా పెళ్లి అయిన అమ్మాయి ప్రేమకథ రాసే ధైర్యం లేక, ఎంగేజ్మెంట్ అయిన అమ్మాయి ప్రేమకథ రాసా” అని చెప్పారు. అక్కడ మొదలయింది నా అన్వేషణ ఎందుకు చలం గారు అంత కాంట్రవర్సియల్ రచయిత. తన సొంత కుటుంబం, తన సొంత ఊరు వాళ్ళే తనని దూరం చేసే అంతగా, తెలుగు సాహిత్య వాదుల్ని రెండుగా చీల్చేసా అంతగా ఏం ఉంది చలం గారి నవలల్లో అని.",20,40,30,10
"మైదానం కథలోకి వెళ్తే లాయర్ భార్య అయిన రాజేశ్వరి అనే బ్రాహ్మణ అమ్మాయి, తన భర్త క్లయింట్ అయిన అమీర్ అనే ముస్లిం వ్యక్తి ని ప్రేమించి లేచిపోద్ది. వాళ్లిద్దరూ నిజాం స్టేట్(స్వాతంత్రం రాక ముందు) లోని ఒక మారు మూల ప్రాంతం లో మైదానం అనే ప్రదేశం లో జీవిస్తారు. అక్కడ నుంచి రాజేశ్వరి జీవితం ఎలా మారింది అనేది ఈ నవల. ఈ ఆర్టికల్ లో నేను ఎక్కువ స్టోరీ/స్పాయిలర్స్ ఇవ్వ దలుచుకోలేదు. మీరే స్వయంగా చదవాలని కోరుతున్నా",30,30,20,20
"తప్పు ఒప్పు లు పక్కన పెట్టి ఆలోచిస్తే, రాజేశ్వరి తీసుకునే నిర్ణయాలు తీసుకోడానికి నిజంగా సమాజం లో మహిళలకి ఆ స్వాతంత్రం ఉందా అని ఆలోచించాలి. ఈ నవల ఎక్కడా సమానత్వం గురించి మాట్లాడదు, ఎక్కడా సమాజం అలా ఉండాలి ఇలా ఉండాలి అని ఉపన్యాసాలు ఇవ్వదు. తనకి దక్కిన స్త్రీ ని ముఖ్యంగా భార్యలని తమ సొంత ఆస్తి గా భావించే మొగాళ్ళ గురించి చెబుతది. ఒక సందర్భం లో “ లాయరు హంగులో మనము ఒక భేషజం- ఆ పుస్తకాల బీరువాలు, గుర్రపు బండి లాగే, ఎవరన్నా వస్తే ఒంటినిండా నగలు వేసి మనని చూపించవచ్చు.దేహం లో కలిగే ఆ కామరోగాన్ని మన ద్వారా కళ్ళు మూసుకుని నయం చేసుకోవచ్చు.” అని రాజేశ్వరి తన భర్త లాంటి మొగాళ్ళ గురించి చెప్తుంది.",10,50,20,20
"ఎందుకు ఈ నవల అంత కాంట్రవర్సియల్ ఆండ్ తెలుగు సాహిత్యం లో ఎందుకు అంత ముఖ్యమయినది? ఈ నవల చదివిన ఇప్పటి కాలం వాళ్ళు కూడా అర్ధం చేసుకోలేని, జీర్ణించుకోలేని విషయాలు వందేళ్ల క్రితమే చలం గారు రాసారు అంటే గొప్పే కదా. అంటరానితనం, కులాల గురించి రచయితలు వాదిస్తున్న సమయాల్లో సమాజంలో స్త్రీ పాత్ర గురించి తన అవసరాల గురించి ఇంత బోల్డ్ గా రాశారు అంటే ఎంత పెద్ద సాహసమో మీరే ఆలోచించండి.",20,40,20,20
"చలం గారి చివరి రోజుల్లో 1972 లో ఆకాశవాణి కి ఇచ్చిన ఒక ఇంటర్వ్యూలో తన రచనల గురించి అడిగినప్పుడు ఇలా చెప్తారు. “నా పుస్తకాల్లో తిట్టింది బయట ఉన్న మనుషుల్ని కాదు , నన్ను. నాలో యే యే మచ్చలు ఉన్నాయో వాటిని నేను గట్టిగా తిట్టుకోవడం తో , వాటిని గట్టిగా గోక్కోవడంతో, వాటిని తన్నబోగొట్టుకోవాలని చూసుకోవడంతో ఆ పుస్తకాలన్నీ బయల్దేరాయి అవి మిమ్మల్ని అనుకోని మీరు కోప్పడ్డారు, మిమ్మల్ని కాదు నన్ను తిట్టుకుంది”",10,60,20,10
"తెల్లవారు జామున 7 , 7 :30 కావస్తుంది, ప్రతి రోజు లానే ఆఫీస్ కి వెళ్ళడానికి మెహదీపట్నం 49M ఎక్కాను. బస్ ఖాళీగా ఉండటం తో వెళ్లి నచ్చిన కిటికీ పక్కన కూర్చున్నా. నా ముందు సీట్ లో దట్టంగా మెరుస్తున్న తెల్ల గడ్డం ఉన్న ముసలాయన ఉన్నాడు. బస్ ఇంకో 2 నిమిషాలలో కదులుతుంది అనగా ఒక పని మనిషి , చిన్న పిల్లాడ్ని కొడుతూ .""రోజు విడొక బరువు నాకు "" అని నసుగుతూ బస్ ఎక్కించింది. అది చుసిన తాత చెయ్యిసహాయం ఇచ్చి వాడ్ని పైకి లాగి తనకి ఎదురుగా ఉన్న సీట్ లో కుర్చోపెట్టుకున్నాడు.",40,20,20,20
"కండక్టర్ వచ్చి తాతని టికెట్ ఎక్కడికి ఇవ్వమంటారు సార్ అని అడగగా , చంటి వైపు చూపిస్తూ , వీడు ఎక్కడ దిగుతాడో అక్కడదాక అని తాత చంటి వైపు చూపిస్తూ చెప్పాడు . కొంచెం ఏడుపు ఆపి కళ్ళు తుడుచుకున్నాడు చంటి.",10,50,20,20
"ఎన్నో ఆశలు , ఇంకెన్నో ఊహలతో ఆకాశాన్ని అందుకోవాలనే కోరిక మీ మా మనందరి ఇంట్లో ప్రతీ కూతురి కో , అక్క కో , చెల్లి కో , అమ్మ కో కచ్చితంగా ఉంటుంది. కానీ దురదృష్టపు శాత్తు సమాజం గీసిన గీతాలలో బ్రతకాలి కాబట్టి , ఎవర్ని బాధ పెట్టె మనస్థత్వం ఉండదు కాబట్టి మౌనంగా చాలా కలల్ని త్యాగం చేసేసి ఉంటారు. కానీ ఎవరు ఎం అనుకుంటారనె ఆలోచన వదిలేస్తే ? ఒక్కసారి స్త్రీ స్వార్దంగా ఆలోచిస్తే ?",20,40,20,20
"ఆడదానికి అపరశక్తి రూపానికి దూరం కేవలం ఒక నిర్ణయం. తను తలుచుకుంటే తాకలేని స్థానం లేదు. నీ అహాన్ని పోషిస్తూ , నువ్వొక గొప్పోడివి అనె నీ భావనకు ఊపిరి పోసుకుంటు బ్రతుకుతుంది. తింగరిది అని నువ్వు పూర్తి చేసే లోపు అసలు నువ్వు ఊహించలేని శిఖరాలకు వెళ్లగలిగే శక్తి తనది.",30,30,20,20
"తన త్యాగంతో నడుస్తున్న ధరతిరా ఇది.సీతాదేవి అయినా , మేరీమాత అయినా నిందలు మోసారు కానీ రాముడిని , యేసుని విడిచిపెట్టలేదు. పురాణాల్లో , పుస్తకాలలో ఆడదాని వల్ల యుద్ధాలు జరిగాయి అని అల , అలవోకగా అనె ఓ మిత్రమా , ఆ యుద్ధాల ముగింపు లో ధర్మం గెలిచిందని మర్చిపోయావా లేదా ఆ యుద్ధం అంచుకి ఒక అధర్మపు సామ్రాజ్యం మట్టి కలిసిందని గ్రహించలేకపోయావా .",10,60,20,10
"తనకి సహాయం పక్కన పెడితే ముందు గౌరవం ఇద్దాం. సమాన హక్కు ఇవ్వడం అన్న ఆలోచన తీసేసి వాళ్ళు సామానులు , అన్ని హక్కులు గల వారు అని నమ్మడం మొదలుపెడదాం .నువ్విచ్చే నిర్ధారణ కన్నా వాళ్ళకి ఇవ్వాల్సిన గౌరవం ఇచ్చేసేయ్ , అంత కన్నా పెద్ద బహుమానం ఏమి లేదు .",20,40,20,20
"అమ్మ లేనిదే నువ్వు లేవు , అసలు నువ్వే లేనప్పుడు నీ పెత్తనం ఎంత? అమ్మ కడుపులో నుండి వచ్చిన ఒక పిండపు ముద్దవని మర్చిపోకు , దాన్ని ప్రేమతో పెంచి ఒక అర్ధవంతమైన జీవితం ఇచ్చింది ఆసిడ్లు పోయడానికి , మానభంగాలు చేసి ఆ స్త్రీ కి , మీ అమ్మకి ఈ సృష్టికి వెన్నుపోటు పొడవడానికి కాదు . నీది కండ బలం , వయసుతో ఆవిరి అయిపోతుంది.తనది గుండె బలం నిలబడితే నా కొడకా ! సృష్టిని సైతం అంతం చేసే సామర్థ్యం,క్రోధం తనది.",10,50,20,20
"తన ప్రేమ జీవితపు కొన ఊపిరి అంచు వరకు గుర్తుంటది.అమ్మ వడిలో ప్రేమ , తోబుట్టువు ఇచ్చిన ధైర్యం , అమ్మమ్మ ఇచ్చిన ఆప్యాయత, భార్య ఇచ్చె నమ్మకం , మగువ అంటేనే భావాలు , అవే ఈ బ్రతుకుని ముందుకి నడిపేవి. ప్రపంచంలోఉన్న ప్రతి మహిళకి, నమస్కరిస్తూ ధన్యవాదాలు. మీరే ఈ లోకానికి బలం , మీరే ప్రేమ , మీరే ధైర్యం.",40,20,20,20
"అనగనాగ ఆఫీస్ , ఆ ఆఫీస్ లో విష్ణు అనే ఒక ఉద్యోగి. లోకం లో పని చేసే వాళ్ళు కొందరు అయితే పని నటించే వాళ్ళు ఇంకొందరు. అదృష్టం కొద్ది మనోడు మొదటి రకం , కానీ దురదృష్టం ఏంటి అంటే చుట్టూ పని చేసే చాలా మంది రెండో రకం. మొహమాటం వలలో పడి విష్ణు నా పని నేను చూస్కుంటా , మిగతా వాళ్ళ గురించి నాకెందుకు అనే పద్దతిలోనే రెండు ఏళ్ళు నెట్టుకొచ్చేసాడు. ఏ ఇబ్బంది రానంత వరకు అది మంచి పద్ధతే . అన్ని ప్రశాంతంగా నడుస్తున్నాయి అనే టైం లో పై ఆఫీసర్ నాగేశ్వర రావు నుండి ఆ ఇబ్బంది రానె వచ్చింది.",10,60,20,10
"అప్పటిదాకా ఒక్క మాట కూడా మాట్లాడని రావు గారు సడన్ గా టార్గెట్ చేయడం స్టార్ట్ చేసాడు. విష్ణు కి అర్ధం కాలేదు అలా అని మరి తెలివి తక్కువ వాడు కాదు కదా , ఇటీవలే విష్ణు కి వచ్చిన ప్రమోషన్ అయినా కావచ్చు లేదా రెండు ఏళ్ళు అవ్వడం తో బయటికి వెళ్ళిపోతాడు అనే భయం కూడా కావచ్చు. మన మదిలో ఆలోచనలే అంతు చిక్కనివి , అర్ధం కానివి , ఇంకా వేరే వాళ్ళ మది లో ఆలోచనలు ఎలా చెప్పగలం",20,40,20,20
"ప్రతిసారి లానే పోతేపోనీ , నా పని నేను చేసుకుంటే చాలు అనే ధోరణి లోనే ఉన్నాడు విష్ణు. కానీ ఆ మౌనాన్ని అహంకారం అనుకుని పగ పెంచేసుకున్నాడు. సహా ఉద్యోగులలో ఎవరు తప్పు చేసిన అది నా మీదకి డైవర్ట్ చేసి మానసికంగా ఇబ్బంది పెట్టడం స్టార్ట్ చేసాడు. ఇవన్నీ అలవాటు లేని విష్ణు చాలా డిస్టర్బ్ అయ్యాడు. ఆరోగ్యం పాడైంది. ప్రశాంతమైన నిద్ర కూడా గందరగోళంగా మారింది . తప్పు చేసి పడిన నింద బరువుగా ఉన్న నీకున్న కారణం వాడుకుని మోయచ్చు. ఏ తప్పు చేయని మనిషి మీద వేసే నింద కొండంత బరువైనది , అది ప్రతి నిమిషం కిందకి తొక్కుతూనే ఉంటుంది. సహించలేము కానీ తప్పట్లేదు.",30,30,20,20
"""మారడానికి ఉద్యోగాలు , అవకాశాలు చాలానే ఉన్నాయ్ , కానీ ఇపుడున్న ఉద్యోగం , వాడు సంపాదించుకున్న ప్రమోషన్ , అలవాటు అయినా వాతావరణం ఇవన్నీ వదిలేసి మారాలన్న ఆలోచనకి కారణం ఎవరు ? వాడి అహాన్ని తీర్చడానికి , వాడి పెట్టిన బాధలకి తలవంచి వెళ్తే , మళ్లీ ఇదే పరిస్థితి జీవితం లో వస్తే ఇలానే పారిపోవాలా ? నా తప్పు లేకున్నా తప్పుకోవాల్సిన అవసరం నాకేంటి ? నీ స్వార్ధం కోసం వేరే వాళ్ళని బాధ పెట్టె హక్కు నీకుందా ? """,10,50,20,20
